Date,Adj Close,Close,High,Low,Open,Volume
2025-06-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-06-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-07-31,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-08-31,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-09-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-10-31,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-11-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-02,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-03,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-04,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-05,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-06,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-07,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-08,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-09,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-10,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-11,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-12,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-13,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-14,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-15,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-16,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-17,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-18,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-19,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-20,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-21,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-22,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-23,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-24,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-25,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-26,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-27,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-28,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-29,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-30,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2025-12-31,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
2026-01-01,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,2.1423940658569336,0
